Symbol,Side,Cxl,Qty,Price,Bid,Ask,T-Dat,S-Dat,TradeID,Trade,TiSS,Exbkr,TradeCommType,Source,Commission,Account,OrderID,GTL,TrailerInfo,Clr
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:45:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,00,150153,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:45:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,00,150161,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:45:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,37,157527,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:46:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,20,166779,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:47:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,09,179141,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:47:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,09,179188,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:49:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,54,210527,854300
CERS,SS,NEW,100,2.365000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:50:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,45,218921,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:51:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,02,221916,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:53:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,50,244663,854300
CERS,SS,NEW,300,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,38,259293,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,38,259305,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,38,259310,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,38,259314,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,38,259318,854300
CERS,SS,NEW,100,2.365000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,38,259334,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,45,261525,854300
CERS,SS,NEW,300,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,56,264219,854300
CERS,SS,NEW,300,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,56,264232,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,56,264238,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,56,264241,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,56,264245,854300
CERS,SS,NEW,200,2.350000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,56,264248,854300
CERS,SS,NEW,100,2.350000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,56,264269,854300
CERS,SS,NEW,200,2.350000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,56,264273,854300
CERS,SS,NEW,100,2.350000,2.360000,2.370000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,56,264275,854300
CERS,SS,NEW,1,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,57,264364,854300
CERS,SS,NEW,199,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,57,264376,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,57,264378,854300
CERS,SS,NEW,200,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,57,264382,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:55:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,59,265085,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271744,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271752,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271764,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271770,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271775,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271779,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271792,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271805,854300
CERS,SS,NEW,200,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271811,854300
CERS,SS,NEW,21,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271815,854300
CERS,SS,NEW,79,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271819,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271824,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271843,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,34,271845,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/19/17,06/14/17,1706149900004,10:56:Contra,SSFREX,0704,PerUnit,TERM,0.010000,AABBC,#STA=CERS,35,271857,854300
